state,district,party,candidate,votes
CA,51st District,REP,Juan Hidalgo,40418
CA,52nd District,DEM,Scott Peters,148651
CA,52nd District,REP,Denise Gitsham,115013
CA,53rd District,DEM,Susan Davis,151269
CA,53rd District,REP,James Veltmeyer,77436
CO,1st District,DEM,Diana DeGette,193589
CO,1st District,REP,Charles Stockham,80926
CO,1st District,Other,Darrell Dinges,10802
CO,2nd District,DEM,Jared Polis,251988
CO,2nd District,REP,Nicholas Morse,166020
CO,2nd District,Other,Richard Longstreth,25858
CO,3rd District,REP,Scott Tipton,191917
CO,3rd District,DEM,Gail Schwartz,142794
CO,3rd District,Other,Gaylon Kent,16996
CO,4th District,REP,Ken Buck,241424
CO,4th District,DEM,Bob Seay,119249
CO,4th District,Other,Bruce Griffith,17925
CO,5th District,REP,Doug Lamborn,222169
CO,5th District,DEM,Misty Plowright,109573
CO,5th District,Other,Mike McRedmond,24320
CO,6th District,REP,Mike Coffman,180727
CO,6th District,DEM,Morgan Carroll,149417
CO,6th District,Other,Norm Olsen,17102
CO,6th District,Other,Robert Lee Worthey,5038
CO,7th District,DEM,Ed Perlmutter,185208
CO,7th District,REP,George Athanasopoulos,134244
CO,7th District,Other,Martin Buchanan,15831
CT,1st District,DEM,John Larson,193040
CT,1st District,REP,Matthew Corey,104214
CT,1st District,Other,Michael DeRosa,6283
CT,2nd District,DEM,Joe Courtney,207584
CT,2nd District,REP,Daria Novak,111587
CT,2nd District,Other,Jonathan Pelto,5332
CT,2nd District,Other,Daniel Reale,5016
CT,3rd District,DEM,Rosa DeLauro,208900
CT,3rd District,REP,Angel Cadena,95370
CT,4th District,DEM,Jim Himes,185928
CT,4th District,REP,John Shaban,123630
CT,5th District,DEM,Elizabeth Esty,174788
CT,5th District,REP,Clay Cope,126842
DE,1st District,DEM,Lisa Rochester,233542
DE,1st District,REP,Hans Reigle,172290
DE,1st District,Other,Mark Perri,8325
DE,1st District,Other,Scott Gesty,6436
FL,1st District,REP,Matt Gaetz,254280
FL,1st District,DEM,Steven Specht,113586
FL,2nd District,REP,Neal Dunn,230838
FL,2nd District,DEM,Walter Dartland,102596
FL,2nd District,Other,Rob Lapham,9384
FL,3rd District,REP,Ted Yoho,193261
FL,3rd District,DEM,Ken McGurn,135688
FL,3rd District,Other,Tom Wells,12438
FL,4th District,REP,John Rutherford,286018
FL,4th District,DEM,David Bruderly,112253
FL,4th District,Other,Gary Koniz,8990
FL,5th District,DEM,Al Lawson,193430
FL,5th District,REP,Glo Smith,107784
FL,6th District,REP,Ron DeSantis,213180
FL,6th District,DEM,Bill McCullough,150677
FL,7th District,DEM,Stephanie Murphy,181758
FL,7th District,REP,John Mica,171412
FL,8th District,REP,Bill Posey,246257
FL,8th District,DEM,Corry Westbrook,126962
FL,8th District,Other,Bill Stinson,16924
FL,9th District,DEM,Darren Soto,194963
FL,9th District,REP,Wayne Liebnitzky,144281
FL,10th District,DEM,Val Demings,198309
FL,10th District,REP,Thuy Lowe,107423
FL,11th District,REP,Daniel Webster,257881
FL,11th District,DEM,Dave Koller,124599
FL,11th District,Other,Bruce Ray Riggs,11961
FL,12th District,REP,Gus Bilirakis,253347
FL,12th District,DEM,Robert Tager,115909
FL,13th District,DEM,Charlie Crist,184371
FL,13th District,REP,David Jolly,170964
FL,14th District,DEM,Kathy Castor,194851
FL,14th District,REP,Christine Quinn,120584
FL,15th District,REP,Dennis Ross,182498
FL,15th District,DEM,Jim Lange,134945
FL,16th District,REP,Vern Buchanan,230187
FL,16th District,DEM,Jan Schneider,154854
FL,17th District,REP,Tom Rooney,209135
FL,17th District,DEM,April Freeman,115801
FL,17th District,Other,John Sawyer,13336
FL,18th District,REP,Brian Mast,201011
FL,18th District,DEM,Randy Perkins,161328
FL,18th District,Other,Carla Spalding,12451
FL,19th District,REP,Francis Rooney,238975
